gender,ug_course,ug_specialization,interests,skills,cgpa,has_certification,certification_title,is_working,masters_field,job_title
Male,BCA,Computer Science,"Programming, Travel, Design","Swift, Git, Java",6.83,Yes,Google Associate Android Developer,Yes,No Masters,Mobile App Developer
Female,BSc,Engineering,"Product Strategy, Leadership","Linux, JIRA, Roadmapping",8.7,Yes,Agile Certified Practitioner,No,No Masters,Product Manager
Male,BSc,Mathematics,"Machine Learning, Cooking, Statistics","SQL, Communication, Machine Learning",7.19,Yes,Coursera ML Specialization,Yes,No Masters,Data Scientist
Female,B.Tech,Physics,"Artificial Intelligence, Mathematics, Cooking, Research","Mathematics, Research Writing, Communication, Deep Learning, Python",8.91,No,None,Yes,MSc in Statistics,AI Research Scientist
Male,BSc,Information Technology,"Hardware, Networking, System Administration","Routing, Linux, CCNA, Firewalls",8.59,No,None,Yes,No Masters,Network Engineer
Male,B.Tech,Mathematics,"Research, Deep Learning, Cooking, Artificial Intelligence","Teamwork, Mathematics, Python, Machine Learning",9.82,No,None,Yes,MS in Machine Learning,Machine Learning Engineer
Male,BCA,Management,"Consulting, Business Analysis, IT Management, Gaming","ERP Systems, SQL, Git, Communication",8.57,No,None,No,No Masters,IT Consultant
Female,BCA,Information Technology,"Data Modeling, Backend, Music","MySQL, SQL, Problem Solving, PostgreSQL, Oracle",8.38,No,None,Yes,No Masters,Database Administrator
Female,B.Tech,Software Engineering,"Problem Solving, Programming, Travel, Software Development","Python, C++, Git, SQL, Java",6.85,Yes,Microsoft Azure Fundamentals,Yes,MS in Software Engineering,Software Engineer
Female,BCA,Computer Science,"Travel, Frontend Development","Git, JavaScript, SQL, Node.js",7.66,Yes,Full Stack Web Development,No,M.Tech in CS,Web Developer
Male,BBA,Business Administration,"Travel, Product Strategy, Leadership","Communication, Excel, Git, JIRA",8.95,Yes,Google Project Management,No,MBA,Product Manager
Male,MSc,Computer Science,"Reading, Mathematics, Research, Artificial Intelligence","Mathematics, Python, Communication, Deep Learning, Teamwork",8.23,Yes,NLP Specialization,No,MS in Machine Learning,AI Research Scientist
Male,BCA,Management,"Consulting, IT Management","SQL, Project Management, Excel",8.91,Yes,ITIL Foundation,Yes,MBA,IT Consultant
Female,B.Tech,Visual Arts,"Cooking, User Experience, Graphic Design","Prototyping, Git, Linux, Adobe XD, Photoshop",7.62,Yes,Interaction Design Foundation,Yes,M.Des,UI/UX Designer
Female,BSc,Computer Science,"Cloud Infrastructure, Cooking","Terraform, GCP, Azure, AWS, Communication",7.89,Yes,Google Cloud Professional,No,M.Tech in Cloud,Cloud Engineer
Female,BBA,Computer Science,"Sports, Business Analysis, IT Management, Consulting","Linux, Project Management, Teamwork, Excel",6.69,No,None,Yes,MS in Information Systems,IT Consultant
Male,B.Tech,Computer Science,"Frontend Development, Reading","React, CSS, Linux",6.22,Yes,Meta Front-End Developer,No,M.Tech in CS,Web Developer
Female,BSc,Computer Science,"Travel, Management","Power BI, Git, Excel",6.32,No,None,No,MS in Business Analytics,Business Analyst
Male,BBA,Computer Science,"Data Analysis, Music","Excel, Communication, SQL, Project Management",8.27,Yes,Power BI Certificate,Yes,MBA,Business Analyst
Female,BCA,Computer Science,"Consulting, Reading","Communication, ERP Systems, Excel, Project Management, SQL",7.9,Yes,ITIL Foundation,No,MS in Information Systems,IT Consultant
Male,B.Tech,Computer Science,"Programming, App Development","Kotlin, Communication, Swift, React Native, Java",6.34,No,None,Yes,MCA,Mobile App Developer
Female,BSc,Computer Science,"Gaming, Automation, Cloud Infrastructure, Networking","Teamwork, Azure, GCP, Linux",8.22,No,None,Yes,MS in Computer Networks,Cloud Engineer
Male,B.Tech,Electronics,"System Administration, Hardware","TCP/IP, CCNA, Excel, Problem Solving, Routing",8.47,Yes,Juniper JNCIA,Yes,M.Tech in Networking,Network Engineer
Male,B.Tech,Software Engineering,"Problem Solving, Software Development","C++, Git, Python, Excel",7.05,Yes,Microsoft Azure Fundamentals,Yes,M.Tech in CS,Software Engineer
Male,BSc,Physics,"Artificial Intelligence, Photography, Research","Mathematics, Deep Learning, Python",8.51,Yes,Deep Learning Specialization,No,MSc in Statistics,AI Research Scientist
Female,BSc,Engineering,"Market Research, Leadership","Roadmapping, SQL, JIRA, Agile",7.06,No,None,Yes,MS in Product Management,Product Manager
Male,B.Tech,Computer Science,"Research, Travel","Excel, TensorFlow, Mathematics, PyTorch, Python",8.18,No,None,Yes,No Masters,Machine Learning Engineer
Male,BSc,Computer Science,"Artificial Intelligence, Travel","Python, Research Writing, Problem Solving, Mathematics, Teamwork",8.47,No,None,Yes,MS in Machine Learning,AI Research Scientist
Female,B.Tech,Business Administration,"Business Analysis, Reading","Excel, ERP Systems, Linux, Communication",7.02,No,None,No,MBA,IT Consultant
Male,BSc,Information Technology,"Sports, Cloud Infrastructure, Automation","Problem Solving, Linux, Azure, AWS, Terraform",7.23,Yes,AWS Solutions Architect,Yes,MS in Computer Networks,Cloud Engineer
Female,BCA,Computer Science,"Design, Gaming, App Development","Swift, SQL, Kotlin, React Native",6.5,No,None,Yes,MCA,Mobile App Developer
Male,BBA,Computer Science,"Market Research, Product Strategy, Leadership","Git, Roadmapping, Communication, Agile, Data Analysis",7.44,Yes,Google Project Management,Yes,MS in Product Management,Product Manager
Female,BSc,Computer Science,"Hardware, Networking, Music, System Administration","CCNA, Firewalls, Teamwork, Linux, TCP/IP",7.84,Yes,CompTIA Network+,No,No Masters,Network Engineer
Male,BBA,Information Technology,"Business Analysis, Consulting, Travel, IT Management","SQL, Communication, Excel, Git, Project Management",6.88,Yes,ITIL Foundation,Yes,MS in Information Systems,IT Consultant
Female,B.Tech,Electronics,"Automation, System Design, Cloud Computing, Music","AWS, Linux, Teamwork",7.51,Yes,Docker Certified Associate,Yes,No Masters,DevOps Engineer
Male,BCA,Computer Science,"Statistics, Cooking, Machine Learning, Data Analysis","Linux, SQL, R",8.1,Yes,Google Data Analytics,Yes,M.Tech in Data Science,Data Scientist
Male,MSc,Physics,"Mathematics, Research, Reading, Artificial Intelligence","Python, Linux, Deep Learning",9.61,Yes,NLP Specialization,No,PhD in CS,AI Research Scientist
Male,B.Tech,Information Technology,"Reading, Design, App Development, Programming","React Native, Java, Excel",7.89,No,None,Yes,MCA,Mobile App Developer
Female,BCA,Information Technology,"Problem Solving, Software Development, Music","Git, SQL, C++, Python",7.17,Yes,AWS Certified Developer,No,No Masters,Software Engineer
Male,B.Tech,Electronics,"Automation, Cloud Computing, System Design","Docker, AWS, Excel, Teamwork, Linux",8.22,Yes,HashiCorp Terraform,Yes,No Masters,DevOps Engineer
Female,B.Tech,Electronics,"System Administration, Networking, Cooking","Routing, SQL, CCNA, Firewalls, TCP/IP",7.82,Yes,CCNA,Yes,MS in Telecommunications,Network Engineer
Male,BCA,Computer Science,"Statistics, Data Analysis","Machine Learning, R, SQL",8.52,Yes,DataCamp Data Scientist,Yes,MSc in Data Science,Data Scientist
Female,B.Tech,Management,"Product Strategy, Market Research, Music","Roadmapping, Agile, JIRA",8.03,Yes,Scrum Master PSM,Yes,M.Tech in CS,Product Manager
Male,BSc,Electronics,"Networking, System Administration","Routing, Linux, TCP/IP, Firewalls, Communication",6.38,Yes,CompTIA Network+,Yes,No Masters,Network Engineer
Male,BCA,Web Technology,"Music, Web Design, Frontend Development, UI Design","Linux, CSS, Node.js",8.43,No,None,Yes,MCA,Web Developer
Female,BSc,Mathematics,"Data Analysis, Statistics, Photography, Machine Learning","Machine Learning, Problem Solving, Tableau, Python",8.42,Yes,Google Data Analytics,Yes,MSc in Data Science,Data Scientist
Female,BCA,Computer Science,"Statistics, Data Analysis","Machine Learning, R, SQL, Tableau, Teamwork",7.27,Yes,IBM Data Science,Yes,MS in Statistics,Data Scientist
Male,BSc,Information Technology,"Backend, Data Modeling, Cooking, Database Management","Excel, SQL, Linux, Oracle",8.55,Yes,PostgreSQL Associate,Yes,M.Tech in CS,Database Administrator
Male,BSc,Mathematics,"Artificial Intelligence, Photography","Deep Learning, Communication, Python, Research Writing",9.84,No,None,Yes,MSc in Statistics,AI Research Scientist
Female,BCA,Mathematics,"Machine Learning, Data Analysis","Python, Communication, Linux, R, Machine Learning",8.28,Yes,Coursera ML Specialization,Yes,MS in Statistics,Data Scientist
Male,BCA,Software Engineering,"Cooking, Programming, Problem Solving, Software Development","SQL, Teamwork, Git, Java, C++",6.65,Yes,Oracle Java Certification,Yes,MS in Software Engineering,Software Engineer
Male,BCA,Information Technology,"Travel, Data Modeling","PostgreSQL, Excel, MongoDB, Problem Solving, SQL",6.31,No,None,Yes,MS in Information Systems,Database Administrator
Male,B.Tech,Information Technology,"Networking, Sports, Automation, Cloud Infrastructure","GCP, Teamwork, Communication",8.9,Yes,AWS Solutions Architect,Yes,No Masters,Cloud Engineer
Female,BSc,Computer Science,"Machine Learning, Statistics, Cooking","Communication, Machine Learning, R, Python, Tableau",8.62,Yes,Coursera ML Specialization,Yes,M.Tech in Data Science,Data Scientist
Male,B.Tech,Information Technology,"Software Development, Problem Solving","SQL, Python, Java",8.18,No,None,Yes,M.Tech in CS,Software Engineer
Male,BSc,Mathematics,"Data Modeling, Database Management","Linux, PostgreSQL, MongoDB, MySQL",7.99,Yes,MongoDB DBA,No,MCA,Database Administrator
Male,B.Tech,Software Engineering,"Music, Problem Solving, Programming, Software Development","Java, SQL, C++, Python, Git",7.93,Yes,AWS Certified Developer,Yes,MS in Software Engineering,Software Engineer
Male,BSc,Computer Science,"Automation, Travel, Networking, Cloud Infrastructure","Git, GCP, AWS, Terraform",8.3,Yes,CompTIA Cloud+,Yes,No Masters,Cloud Engineer
Male,BBA,Engineering,"Market Research, Cooking, Product Strategy","Communication, Data Analysis, Roadmapping, Git",8.49,No,None,Yes,MBA,Product Manager
Female,BCom,Commerce,"Travel, Business Strategy, Management, Data Analysis","Communication, Project Management, Power BI, SQL",6.81,Yes,CBAP Certification,Yes,MBA,Business Analyst
Male,BCA,Information Technology,"App Development, Design, Sports, Programming","Java, Swift, Teamwork, Kotlin, Communication",7.57,No,None,Yes,M.Tech in CS,Mobile App Developer
Male,BSc,Mathematics,"Photography, Research, Deep Learning, Artificial Intelligence","Python, Problem Solving, Communication",9.83,Yes,Google ML Engineer,Yes,MSc in Mathematics,Machine Learning Engineer
Female,B.Tech,Computer Science,"Cloud Computing, System Design, Reading","Linux, Communication, Docker, Git",7.61,Yes,Docker Certified Associate,Yes,MS in Cloud Computing,DevOps Engineer
Male,BCA,Information Technology,"Travel, Consulting, IT Management, Business Analysis","Excel, Git, Communication, SQL",8.77,No,None,No,MCA,IT Consultant
Female,BSc,Information Technology,"Cloud Infrastructure, Automation","AWS, GCP, Terraform, Azure, Git",8.89,Yes,Google Cloud Professional,No,No Masters,Cloud Engineer
Male,B.Tech,Information Technology,"Hardware, System Administration, Networking","Git, Firewalls, CCNA, TCP/IP",8.77,No,None,No,No Masters,Network Engineer
Female,MSc,Statistics,"Mathematics, Cooking, Research, Artificial Intelligence","Problem Solving, NLP, Python",8.26,No,None,Yes,MSc in Mathematics,AI Research Scientist
Male,BSc,Computer Science,"Frontend Development, UI Design, Web Design, Music","React, CSS, Node.js, Git, SQL",6.68,Yes,freeCodeCamp Web Dev,Yes,MCA,Web Developer
Female,B.Tech,Computer Science,"Sports, Cyber Security, Ethical Hacking","SQL, Linux, Teamwork, Cryptography",9.4,No,None,Yes,M.Tech in Cybersecurity,Cybersecurity Analyst
Female,BBA,Management,"Business Analysis, Consulting, Gaming","SQL, Excel, Git",6.33,No,None,Yes,No Masters,IT Consultant
Male,B.Tech,Electronics,"System Design, Automation, Travel, Cloud Computing","Docker, Kubernetes, Problem Solving, AWS",7.53,Yes,Kubernetes CKA,Yes,No Masters,DevOps Engineer
Male,BSc,Electronics,"Gaming, Deep Learning, Artificial Intelligence, Research","Mathematics, PyTorch, TensorFlow, Teamwork, Linux",9.58,Yes,AWS ML Specialty,No,MSc in Mathematics,Machine Learning Engineer
Male,B.Tech,Statistics,"Gaming, Mathematics, Artificial Intelligence","Mathematics, NLP, Git",9.96,No,None,Yes,MSc in Mathematics,AI Research Scientist
Female,B.Tech,Information Technology,"Networking, Automation, Cloud Infrastructure, Sports","Terraform, Azure, AWS, GCP",9.03,Yes,Google Cloud Professional,Yes,MS in Computer Networks,Cloud Engineer
Male,B.Tech,Computer Science,"Software Development, Music, Problem Solving","Git, SQL, Linux, Java, C++",9.32,Yes,AWS Certified Developer,No,MS in Software Engineering,Software Engineer
Male,B.Tech,Statistics,"Machine Learning, Data Analysis, Music","Tableau, Communication, SQL",7.72,Yes,Coursera ML Specialization,No,M.Tech in Data Science,Data Scientist
Male,B.Tech,Statistics,"Data Analysis, Statistics, Reading","Git, R, Machine Learning",8.67,Yes,Google Data Analytics,No,MSc in Data Science,Data Scientist
Male,MSc,Mathematics,"Artificial Intelligence, Photography","SQL, Python, Mathematics, Git",8.54,Yes,Google ML Engineer,No,PhD in CS,AI Research Scientist
Female,BCA,Statistics,"Statistics, Machine Learning, Travel, Data Analysis","Excel, R, Machine Learning, SQL",7.12,No,None,Yes,No Masters,Data Scientist
Male,BCom,Commerce,"Business Strategy, Management, Data Analysis","SQL, Project Management, Excel",8.58,Yes,PMI-PBA,Yes,MBA,Business Analyst
Female,B.Tech,Electronics,"Hardware, Sports, System Administration, Networking","Routing, Linux, TCP/IP, Excel",6.31,Yes,Juniper JNCIA,Yes,MS in Telecommunications,Network Engineer
Female,B.Tech,Information Technology,"Sports, Cloud Computing","CI/CD, Kubernetes, AWS",7.19,Yes,Kubernetes CKA,Yes,M.Tech in CS,DevOps Engineer
Male,B.Tech,Information Technology,"Photography, System Design, Cloud Computing","AWS, Git, Linux, Excel",8.31,No,None,Yes,MS in Cloud Computing,DevOps Engineer
Male,BCA,Information Technology,"Reading, UI Design, Web Design","Problem Solving, CSS, JavaScript",8.2,Yes,Full Stack Web Development,Yes,M.Tech in CS,Web Developer
Female,BSc,Mathematics,"Travel, Artificial Intelligence","Teamwork, Mathematics, Research Writing",8.33,No,None,Yes,MS in Machine Learning,AI Research Scientist
Male,BCom,Management,"Management, Business Strategy","Excel, Problem Solving, Git, Project Management, Power BI",6.32,No,None,No,No Masters,Business Analyst
Male,BSc,Web Technology,"Frontend Development, Web Design, UI Design","CSS, JavaScript, React, Node.js",6.24,No,None,No,No Masters,Web Developer
Male,B.Tech,Computer Science,"Networking, Automation, Cloud Infrastructure, Travel","Terraform, GCP, Linux",7.04,No,None,Yes,M.Tech in Cloud,Cloud Engineer
Male,BSc,Information Technology,"Networking, Automation, Sports, Cloud Infrastructure","Communication, GCP, Terraform",9.03,Yes,Google Cloud Professional,Yes,MS in Computer Networks,Cloud Engineer
Female,B.Tech,Information Technology,"App Development, Cooking, Programming, Design","Java, Swift, Kotlin",8.88,Yes,Flutter Development Bootcamp,No,MCA,Mobile App Developer
Female,BCA,Mathematics,"Statistics, Machine Learning","Python, Git, R, Tableau",7.47,Yes,IBM Data Science,Yes,M.Tech in Data Science,Data Scientist
Male,B.Tech,Electronics,"Travel, System Administration, Hardware, Networking","Git, Firewalls, Linux, TCP/IP, CCNA",8.54,No,None,Yes,M.Tech in Networking,Network Engineer
Female,BSc,Computer Science,"Networking, Ethical Hacking, Cyber Security, Cooking","Network Security, Linux, Excel",6.98,Yes,Cybersecurity Fundamentals,Yes,MS in Information Security,Cybersecurity Analyst
Male,BCom,Business Administration,"Sports, Consulting, IT Management","ERP Systems, Excel, Linux, Project Management, Communication",7.35,Yes,ITIL Foundation,No,MCA,IT Consultant
Male,B.Tech,Information Technology,"Music, Cloud Computing, System Design, Automation","Docker, Teamwork, Linux",8.35,Yes,HashiCorp Terraform,Yes,No Masters,DevOps Engineer
Male,B.Tech,Commerce,"Travel, Management, Data Analysis","Power BI, SQL, Excel",8.36,Yes,Power BI Certificate,Yes,No Masters,Business Analyst
Male,BBA,Computer Science,"Market Research, Travel, Leadership","Roadmapping, JIRA, Data Analysis",6.79,Yes,Google Project Management,Yes,MBA,Product Manager
Male,BSc,Electronics,"Photography, Hardware","Problem Solving, CCNA, Git, TCP/IP",8.49,Yes,Juniper JNCIA,Yes,M.Tech in Networking,Network Engineer
Female,B.Tech,Software Engineering,"Design, App Development","React Native, Swift, Communication, Problem Solving",7.98,Yes,Google Associate Android Developer,No,M.Tech in CS,Mobile App Developer
Female,B.Tech,Visual Arts,"Creativity, Graphic Design","Prototyping, Photoshop, Adobe XD",6.11,No,None,Yes,MS in Human-Computer Interaction,UI/UX Designer
Female,BCA,Information Technology,"Database Management, Backend","PostgreSQL, MySQL, SQL",6.79,Yes,MongoDB DBA,Yes,M.Tech in CS,Database Administrator
Male,BCA,Web Technology,"UI Design, Web Design","CSS, Git, Node.js",7.13,Yes,Google UX Design,No,MCA,Web Developer
Female,BCA,Statistics,"Machine Learning, Statistics","Python, Machine Learning, SQL",7.37,Yes,DataCamp Data Scientist,No,No Masters,Data Scientist
Female,B.Tech,Software Engineering,"Reading, Programming, Software Development, Problem Solving","Git, SQL, C++",7.07,Yes,Microsoft Azure Fundamentals,Yes,MS in Software Engineering,Software Engineer
Male,BCom,Business Administration,"Data Analysis, Cooking, Business Strategy","Project Management, SQL, Communication, Power BI",8.94,No,None,Yes,No Masters,Business Analyst
Female,BSc,Electronics,"Ethical Hacking, Networking, Photography","Linux, Network Security, Git, Ethical Hacking, Communication",6.55,Yes,CompTIA Security+,No,M.Tech in Cybersecurity,Cybersecurity Analyst
Male,BSc,Information Technology,"Data Modeling, Backend, Travel, Database Management","Excel, MySQL, Oracle, PostgreSQL, SQL",8.97,No,None,Yes,M.Tech in CS,Database Administrator
Male,B.Tech,Information Technology,"Software Development, Programming, Photography, Problem Solving","SQL, Git, C++, Java",7.32,No,None,Yes,No Masters,Software Engineer
Female,BCA,Information Technology,"Music, Software Development, Problem Solving, Programming","Java, Python, C++, Git, SQL",8.73,No,None,No,M.Tech in CS,Software Engineer
Male,BSc,Software Engineering,"Gaming, Programming","SQL, Java, C++",9.27,No,None,No,MS in Software Engineering,Software Engineer
Male,BCA,Business Administration,"Consulting, Business Analysis","Project Management, Linux, Excel, ERP Systems, SQL",7.34,Yes,SAP Consultant,Yes,MBA,IT Consultant
Female,B.Tech,Computer Science,"Travel, IT Management","Project Management, Excel, Communication",6.54,Yes,SAP Consultant,Yes,MCA,IT Consultant
Male,BCA,Web Technology,"Web Design, UI Design, Frontend Development","Problem Solving, CSS, Node.js, HTML",7.5,No,None,Yes,MCA,Web Developer
Female,BSc,Information Technology,"Networking, Cloud Infrastructure","Teamwork, GCP, Git, Terraform",9.08,Yes,AWS Solutions Architect,No,M.Tech in Cloud,Cloud Engineer
Female,BBA,Engineering,"Product Strategy, Music","JIRA, Excel, Communication, Roadmapping, Data Analysis",9.15,Yes,Google Project Management,No,MBA,Product Manager
Male,BSc,Management,"Market Research, Reading, Product Strategy, Leadership","Roadmapping, JIRA, Data Analysis, Agile",7.54,No,None,Yes,M.Tech in CS,Product Manager
Male,BCA,Mathematics,"Database Management, Backend, Data Modeling","PostgreSQL, SQL, Oracle, Problem Solving, Git",7.1,No,None,Yes,M.Tech in CS,Database Administrator
Male,BCA,Computer Science,"Gaming, Machine Learning, Data Analysis","Machine Learning, Tableau, Communication, Excel, SQL",8.89,Yes,Google Data Analytics,Yes,MS in Statistics,Data Scientist
Male,BSc,Mathematics,"Music, Data Analysis, Statistics, Machine Learning","R, Teamwork, Python, SQL",8.44,No,None,Yes,M.Tech in Data Science,Data Scientist
Female,B.Tech,Information Technology,"Automation, Cooking, Networking","AWS, GCP, Excel, Azure, Git",9.06,Yes,Google Cloud Professional,Yes,M.Tech in Cloud,Cloud Engineer
Female,B.Tech,Computer Science,"Hardware, Travel, Networking, System Administration","Git, Firewalls, Communication",7.6,No,None,Yes,MS in Telecommunications,Network Engineer
Female,B.Tech,Physics,"Reading, Artificial Intelligence, Research","Python, Deep Learning, Linux, NLP, Teamwork",9.25,Yes,Google ML Engineer,No,M.Tech in AI,AI Research Scientist
Male,BCA,Visual Arts,"Photography, Creativity, User Experience","Adobe XD, Photoshop, Problem Solving, Sketch, Prototyping",5.54,No,None,Yes,No Masters,UI/UX Designer
Male,B.Tech,Computer Science,"Cloud Infrastructure, Networking, Gaming, Automation","Azure, GCP, Excel, Linux, Git",8.44,No,None,Yes,M.Tech in Cloud,Cloud Engineer
Male,BSc,Electronics,"Research, Artificial Intelligence","Python, Mathematics, PyTorch, TensorFlow, Machine Learning",8.73,No,None,Yes,MS in Machine Learning,Machine Learning Engineer
Female,BCA,Computer Science,"Problem Solving, Programming, Software Development, Sports","C++, Excel, Java",9.11,No,None,Yes,M.Tech in CS,Software Engineer
Female,B.Tech,Business Administration,"Gaming, Data Analysis, Business Strategy, Management","SQL, Power BI, Project Management",8.35,Yes,PMI-PBA,Yes,MS in Business Analytics,Business Analyst
Male,B.Tech,Computer Science,"Programming, Sports","Java, C++, Excel",8.66,Yes,Microsoft Azure Fundamentals,Yes,MS in Software Engineering,Software Engineer
Male,BSc,Information Technology,"Cyber Security, Ethical Hacking, Networking","Ethical Hacking, Communication, Cryptography, Python",7.1,Yes,CEH Ethical Hacker,No,M.Tech in Cybersecurity,Cybersecurity Analyst
Male,BCA,Business Administration,"Business Analysis, Photography, Consulting, IT Management","Excel, SQL, Teamwork, ERP Systems, Project Management",6.02,Yes,PMP Certification,Yes,MBA,IT Consultant
Female,BCom,Computer Science,"Business Strategy, Reading","Project Management, Power BI, SQL, Excel",6.6,Yes,PMI-PBA,No,MS in Business Analytics,Business Analyst
Female,BSc,Electronics,"Networking, Hardware","Linux, TCP/IP, Firewalls, CCNA",6.87,Yes,CCNA,Yes,MS in Telecommunications,Network Engineer
Female,B.Tech,Statistics,"Mathematics, Cooking, Research, Artificial Intelligence","Research Writing, NLP, SQL, Deep Learning",8.92,Yes,Reinforcement Learning Specialization,Yes,MSc in Mathematics,AI Research Scientist
Male,BDes,Design,"Graphic Design, Creativity, User Experience, Sports","Prototyping, Sketch, Linux, Adobe XD",6.1,Yes,Google UX Design Certificate,No,No Masters,UI/UX Designer
Female,BSc,Mathematics,"Gaming, Database Management","MySQL, SQL, Oracle, MongoDB",8.75,No,None,Yes,MS in Information Systems,Database Administrator
Female,BBA,Computer Science,"Product Strategy, Leadership, Reading","Agile, JIRA, Data Analysis, Roadmapping",9.21,Yes,Google Project Management,No,MS in Product Management,Product Manager
Female,B.Tech,Computer Science,"Networking, System Administration, Cooking, Hardware","Excel, TCP/IP, Routing, Firewalls",6.87,Yes,CCNP,Yes,M.Tech in Networking,Network Engineer
Male,B.Tech,Information Technology,"Frontend Development, Web Design, UI Design","Problem Solving, React, Node.js, JavaScript, HTML",7.25,Yes,Meta Front-End Developer,No,M.Tech in CS,Web Developer
Female,BSc,Management,"Business Strategy, Management","Communication, Project Management, Excel",7.11,Yes,CBAP Certification,Yes,MS in Business Analytics,Business Analyst
Female,B.Tech,Computer Science,"App Development, Design, Cooking, Programming","Swift, Teamwork, React Native, Flutter",8.15,No,None,Yes,No Masters,Mobile App Developer
Male,BCA,Information Technology,"Programming, Travel","Swift, Kotlin, Java, Communication",6.46,No,None,Yes,M.Tech in CS,Mobile App Developer
Male,BSc,Engineering,"Product Strategy, Leadership","Communication, Roadmapping, Git",8.41,No,None,Yes,MS in Product Management,Product Manager
Female,BCA,Software Engineering,"Programming, Design","Excel, Communication, Flutter, Swift",6.59,No,None,No,M.Tech in CS,Mobile App Developer
Male,BCom,Computer Science,"Data Analysis, Management, Gaming, Business Strategy","Problem Solving, Project Management, Communication, SQL",8.82,Yes,CBAP Certification,No,MS in Business Analytics,Business Analyst
Male,BSc,Web Technology,"Photography, Web Design, UI Design","Problem Solving, HTML, React, Teamwork",8.38,Yes,Meta Front-End Developer,No,M.Tech in CS,Web Developer
Male,BCA,Information Technology,"Programming, Music","C++, SQL, Git, Java",9.01,Yes,AWS Certified Developer,No,M.Tech in CS,Software Engineer
